YAL001C	YAL001C	100	3483	0	0	1	3483	1	3483	0	6433	3483
YAL002W	YAL002W	100	3825	0	0	1	3825	1	3825	0	7064	3825
YAL003W	YAL003W	100	621	0	0	1	621	1	621	0	1147	621
YAL004W	YAL005C	100	648	0	0	1	648	672	25	0	1197	648
YAL004W	YAL004W	100	648	0	0	1	648	1	648	0	1197	648
YAL004W	YLL024C	95.99	648	26	0	1	648	672	25	0	1053	648
YAL005C	YAL005C	100	1929	0	0	1	1929	1	1929	0	3563	1929
YAL005C	YLL024C	96.43	1931	56	13	1	1929	1	1920	0	3171	1929
YAL005C	YAL004W	100	648	0	0	25	672	648	1	0	1197	1929
YAL005C	YNL209W	77.06	1203	238	38	10	1190	25	1211	0	658	1929
YAL005C	YDL229W	74.61	1591	350	54	10	1570	25	1591	0	651	1929
YAL007C	YAL007C	100	648	0	0	1	648	1	648	0	1197	648
YAL008W	YAL008W	100	597	0	0	1	597	1	597	0	1103	597
YAL009W	YAL009W	100	780	0	0	1	780	1	780	0	1441	780
YAL010C	YAL010C	100	1482	0	0	1	1482	1	1482	0	2737	1482
YAL011W	YAL011W	100	1878	0	0	1	1878	1	1878	0	3469	1878
YAL012W	YAL012W	100	1185	0	0	1	1185	1	1185	0	2189	1185
YAL013W	YAL013W	100	1218	0	0	1	1218	1	1218	0	2250	1218
YAL014C	YAL014C	100	768	0	0	1	768	1	768	0	1419	768
YAL015C	YAL015C	100	1200	0	0	1	1200	1	1200	0	2217	1200
YAL016C-A	YAL016C-A	100	315	0	0	1	315	1	315	9E-167	582	315
YAL016C-A	YAL016W	100	191	0	0	1	191	191	1	8E-98	353	315
YAL016C-B	YAL016C-B	100	186	0	0	1	186	1	186	3E-95	344	186
YAL016W	YAL016W	100	1908	0	0	1	1908	1	1908	0	3524	1908
YAL016W	YAL016C-A	100	191	0	0	1	191	191	1	5E-97	353	1908
YAL017W	YAL017W	100	4071	0	0	1	4071	1	4071	0	7518	4071
YAL017W	YOL045W	76.54	716	162	6	3294	4006	2529	3241	1E-106	387	4071
YAL018C	YAL018C	100	978	0	0	1	978	1	978	0	1807	978
YAL019W	YAL019W	100	3396	0	0	1	3396	1	3396	0	6272	3396
YAL019W-A	YAL019W-A	100	570	0	0	1	570	1	570	0	1053	570
YAL019W-A	YAL020C	100	366	0	0	1	366	366	1	0	676	570
YAL020C	YAL020C	100	1002	0	0	1	1002	1	1002	0	1851	1002
YAL020C	YAL019W-A	100	366	0	0	1	366	366	1	0	676	1002
YAL021C	YAL021C	100	2514	0	0	1	2514	1	2514	0	4643	2514
YAL022C	YAL022C	100	1554	0	0	1	1554	1	1554	0	2870	1554
YAL023C	YAL023C	100	2280	0	0	1	2280	1	2280	0	4211	2280
YAL024C	YAL024C	100	4308	0	0	1	4308	1	4308	0	7956	4308
YAL025C	YAL025C	100	921	0	0	1	921	1	921	0	1701	921
YAL026C	YAL026C	100	4068	0	0	1	4068	1	4068	0	7513	4068
YAL026C	YAL026C-A	100	194	0	0	3875	4068	1	194	2E-98	359	4068
YAL026C-A	YAL026C-A	100	438	0	0	1	438	1	438	0	809	438
YAL026C-A	YAL026C	100	194	0	0	1	194	3875	4068	2E-99	359	438
YAL026C-A	YAL027W	100	87	0	0	352	438	786	700	7E-40	161	438
YAL027W	YAL027W	100	786	0	0	1	786	1	786	0	1452	786
YAL027W	YAL026C-A	100	87	0	0	700	786	438	352	1E-39	161	786
YAL028W	YAL028W	100	1587	0	0	1	1587	1	1587	0	2931	1587
YAL029C	YAL029C	100	4416	0	0	1	4416	1	4416	0	8155	4416
YAL030W	YAL030W	100	354	0	0	1	354	1	354	0	654	354
YAL031C	YAL031C	100	2283	0	0	1	2283	1	2283	0	4217	2283
YAL031C	YAL031W-A	100	229	0	0	2055	2283	309	81	5E-118	424	2283
YAL031W-A	YAL031W-A	100	309	0	0	1	309	1	309	2E-163	571	309
YAL031W-A	YAL031C	100	229	0	0	81	309	2283	2055	6E-119	424	309
YAL032C	YAL032C	100	1140	0	0	1	1140	1	1140	0	2106	1140
YAL033W	YAL033W	100	522	0	0	1	522	1	522	0	965	522
YAL034C	YAL034C	100	1242	0	0	1	1242	1	1242	0	2294	1242
YAL034C-B	YAL034C-B	100	354	0	0	1	354	1	354	0	654	354
YAL034C-B	YAL034W-A	100	125	0	0	1	125	125	1	4E-61	231	354
YAL034W-A	YAL034W-A	100	870	0	0	1	870	1	870	0	1607	870
YAL034W-A	YAL034C-B	100	125	0	0	1	125	125	1	1E-60	231	870
YAL035W	YAL035W	100	3009	0	0	1	3009	1	3009	0	5557	3009
YAL036C	YAL036C	100	1110	0	0	1	1110	1	1110	0	2050	1110
YAL037C-A	YAL037C-A	100	93	0	0	1	93	1	93	6E-44	172	93
YAL037C-B	YAL037C-B	100	975	0	0	1	975	1	975	0	1801	975
YAL037C-B	YAL038W	100	963	0	0	13	975	1503	541	0	1779	975
YAL037W	YAL037W	100	804	0	0	1	804	1	804	0	1485	804
YAL038W	YAL038W	100	1503	0	0	1	1503	1	1503	0	2776	1503
YAL038W	YAL037C-B	100	963	0	0	541	1503	975	13	0	1779	1503
YAL039C	YAL039C	100	810	0	0	1	810	1	810	0	1496	810
YAL040C	YAL040C	100	1743	0	0	1	1743	1	1743	0	3219	1743
YAL041W	YAL041W	100	2565	0	0	1	2565	1	2565	0	4737	2565
YAL042C-A	YAL042C-A	100	378	0	0	1	378	1	378	0	699	378
